"Id";"DayType"
"Status2015208";"occupied"
"Status2015209";"occupied"
"Status2015210";"occupied"
"Status2015211";"occupied"
"Status2015212";"occupied"
"Status2015213";"occupied"
"Status2015215";"occupied"
"Status2015216";"occupied"
"Status2015217";"occupied"
"Status2015218";"occupied"
"Status2015219";"occupied"
"Status2015220";"occupied"
"Status2015221";"occupied"
"Status2015222";"departure"
"Status2015314";"arrival"
"Status2015321";"departure"
"Status2016206";"arrival"
"Status2016213";"arrivalDeparture"
"Status2016214";"occupied"
"Status2016215";"occupied"
"Status2016216";"occupied"
"Status2016217";"occupied"
"Status2016218";"occupied"
"Status2016219";"occupied"
"Status2015919";"arrival"
"Status2015926";"departure"
"Status20151003";"arrival"
"Status20151004";"occupied"
"Status20151005";"occupied"
"Status20151006";"occupied"
"Status20151007";"occupied"
"Status20151008";"occupied"
"Status20151009";"occupied"
"Status20151010";"occupied"
"Status20151011";"occupied"
"Status20151012";"occupied"
"Status20151013";"occupied"
"Status20151014";"occupied"
"Status20151015";"occupied"
"Status20151016";"occupied"
"Status20151017";"departure"
"Status2015315";"notToOccupy"
"Status2015316";"notToOccupy"
"Status2015317";"notToOccupy"
"Status2015318";"notToOccupy"
"Status2015319";"notToOccupy"
"Status2015320";"notToOccupy"
"Status2015131";"arrival"
"Status2015203";"notToOccupy"
"Status2015204";"notToOccupy"
"Status2015201";"notToOccupy"
"Status2015202";"notToOccupy"
"Status2015205";"notToOccupy"
"Status2015206";"notToOccupy"
"Status2015207";"arrivalDeparture"
"Status2015214";"arrivalDeparture"
"Status2015920";"notToOccupy"
"Status2015921";"notToOccupy"
"Status2015922";"notToOccupy"
"Status2015923";"notToOccupy"
"Status2015924";"notToOccupy"
"Status2015925";"notToOccupy"
"Status2016207";"notToOccupy"
"Status2016208";"notToOccupy"
"Status2016209";"notToOccupy"
"Status2016210";"notToOccupy"
"Status2016211";"notToOccupy"
"Status2016212";"notToOccupy"
"Status2016221";"occupied"
"Status2016222";"occupied"
"Status2016223";"occupied"
"Status2016224";"occupied"
"Status2016225";"occupied"
"Status2016226";"occupied"
"Status2016220";"arrivalDeparture"
"Status2016926";"notToOccupy"
"Status2016927";"notToOccupy"
"Status2016928";"notToOccupy"
"Status2016929";"notToOccupy"
"Status2016930";"notToOccupy"
"Status2016925";"notToOccupy"
"Status2016924";"arrival"
"Status2015702";"arrival"
"Status2015703";"occupied"
"Status2015704";"occupied"
"Status2015705";"occupied"
"Status2015706";"occupied"
"Status2015707";"occupied"
"Status2015708";"occupied"
"Status2015709";"occupied"
"Status2015710";"occupied"
"Status2015711";"occupied"
"Status2015712";"departure"
"Status2016108";"arrival"
"Status2016109";"occupied"
"Status2016110";"occupied"
"Status2016111";"occupied"
"Status2016112";"occupied"
"Status2016113";"occupied"
"Status2016114";"occupied"
"Status2016115";"occupied"
"Status2016116";"departure"
"Status2015904";"arrival"
"Status2015905";"notToOccupy"
"Status2015906";"notToOccupy"
"Status2015907";"notToOccupy"
"Status2015908";"notToOccupy"
"Status2015909";"notToOccupy"
"Status2015910";"notToOccupy"
"Status2015911";"departure"
"Status20151226";"arrival"
"Status20151227";"occupied"
"Status20151228";"occupied"
"Status20151229";"occupied"
"Status20151230";"occupied"
"Status20151231";"occupied"
"Status2016101";"occupied"
"Status2016227";"arrivalDeparture"
"Status2016228";"notToOccupy"
"Status2016229";"notToOccupy"
"Status2016301";"notToOccupy"
"Status2016302";"notToOccupy"
"Status2016303";"notToOccupy"
"Status2016304";"notToOccupy"
"Status2016305";"departure"
"Status20161225";"occupied"
"Status20161226";"occupied"
"Status20161227";"occupied"
"Status20161228";"occupied"
"Status20161229";"occupied"
"Status20161230";"occupied"
"Status20161231";"occupied"
"Status2017101";"occupied"
"Status2016102";"occupied"
"Status2016103";"departure"
"Status2016104";"notToOccupy"
"Status2016105";"notToOccupy"
"Status2016106";"notToOccupy"
"Status2016107";"notToOccupy"
"Status20161001";"departure"
"Status2016319";"arrival"
"Status2016320";"occupied"
"Status2016321";"occupied"
"Status2016322";"occupied"
"Status2016323";"occupied"
"Status2016324";"occupied"
"Status2016325";"occupied"
"Status2016326";"departure"
"Status2017204";"notToOccupy"
"Status2017205";"notToOccupy"
"Status2017206";"notToOccupy"
"Status2017207";"notToOccupy"
"Status2017208";"notToOccupy"
"Status2017209";"notToOccupy"
"Status2017212";"occupied"
"Status2017213";"occupied"
"Status2017214";"occupied"
"Status2017215";"occupied"
"Status2017216";"occupied"
"Status2016619";"occupied"
"Status2016620";"occupied"
"Status2016621";"occupied"
"Status2016622";"occupied"
"Status2016623";"occupied"
"Status2016624";"occupied"
"Status2016625";"arrivalDeparture"
"Status2016618";"arrival"
"Status2016724";"occupied"
"Status2016725";"occupied"
"Status2016726";"occupied"
"Status2016727";"occupied"
"Status2016728";"occupied"
"Status2016729";"departure"
"Status2016723";"arrival"
"Status2017408";"occupied"
"Status2017409";"occupied"
"Status2017410";"occupied"
"Status2017411";"occupied"
"Status2017412";"occupied"
"Status2017413";"occupied"
"Status2017414";"occupied"
"Status2017415";"occupied"
"Status2017416";"occupied"
"Status2017417";"occupied"
"Status2016901";"notToOccupy"
"Status2016902";"notToOccupy"
"Status2016903";"notToOccupy"
"Status2016904";"notToOccupy"
"Status2016905";"notToOccupy"
"Status2016906";"notToOccupy"
"Status2016907";"notToOccupy"
"Status2016820";"notToOccupy"
"Status2016821";"notToOccupy"
"Status2016822";"notToOccupy"
"Status2016823";"notToOccupy"
"Status2016824";"notToOccupy"
"Status2016825";"notToOccupy"
"Status2016826";"notToOccupy"
"Status2016827";"notToOccupy"
"Status2017219";"occupied"
"Status2017220";"occupied"
"Status2017221";"occupied"
"Status2017222";"occupied"
"Status2017223";"occupied"
"Status2017224";"occupied"
"Status2017225";"occupied"
"Status2017226";"occupied"
"Status2017227";"occupied"
"Status2017228";"occupied"
"Status2017301";"occupied"
"Status2017302";"occupied"
"Status2017303";"occupied"
"Status2017304";"occupied"
"Status2017305";"occupied"
"Status2017306";"occupied"
"Status2017307";"occupied"
"Status2017308";"occupied"
"Status2017309";"occupied"
"Status2017310";"occupied"
"Status2017311";"occupied"
"Status2017312";"occupied"
"Status2017313";"occupied"
"Status2017314";"occupied"
"Status2017315";"occupied"
"Status2017316";"occupied"
"Status2017317";"occupied"
"Status2017318";"departure"
"Status20161224";"arrival"
"Status2017327";"notToOccupy"
"Status2017328";"notToOccupy"
"Status2017329";"notToOccupy"
"Status2017330";"notToOccupy"
"Status2017331";"notToOccupy"
"Status2017401";"notToOccupy"
"Status2017402";"notToOccupy"
"Status2017923";"arrival"
"Status2017924";"notToOccupy"
"Status2017925";"notToOccupy"
"Status2017926";"notToOccupy"
"Status2017927";"notToOccupy"
"Status2017928";"notToOccupy"
"Status2017929";"notToOccupy"
"Status2017930";"departure"
"Status2017102";"arrivalDeparture"
"Status2017103";"notToOccupy"
"Status2017104";"notToOccupy"
"Status2017105";"notToOccupy"
"Status2017106";"notToOccupy"
"Status2017107";"notToOccupy"
"Status2017108";"notToOccupy"
"Status2017715";"arrival"
"Status2017716";"occupied"
"Status2017717";"occupied"
"Status2017718";"occupied"
"Status2017719";"occupied"
"Status2017720";"occupied"
"Status2017721";"occupied"
"Status2017211";"arrival"
"Status2017210";"departure"
"Status2017203";"arrival"
"Status2017218";"arrival"
"Status2017217";"departure"
"Status2017723";"occupied"
"Status2017724";"occupied"
"Status2017725";"occupied"
"Status2017726";"occupied"
"Status2017727";"occupied"
"Status2017728";"occupied"
"Status2017729";"departure"
"Status2017722";"arrivalDeparture"
"Status20171224";"occupied"
"Status20171225";"occupied"
"Status20171226";"occupied"
"Status20171227";"occupied"
"Status20171228";"occupied"
"Status20171229";"occupied"
"Status20171230";"occupied"
"Status20171231";"occupied"
"Status2018101";"occupied"
